projeto,sondagem_nome,crs_epsg,coordenada_x,coordenada_y,altitude,nivel_agua,profundidade_inicial,profundidade_final,descricao,classificacao,tipo_aquifero,data
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,0.0,0.5,Piso de concreto,Cascalho,Livre,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,0.5,3.0,"Argila siltosa pouco arenosa, mole a muito mole, marrom variegada",Argila,Aquitarde,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,3.0,5.0,"Argila siltosa pouco arenosa, mole, marrom escura",Argila,Aquitarde,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,5.0,10.55,"Argila siltosa pouco arenosa, mole a média, vermelha",Argila,Aquitarde,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,10.55,15.0,"Argila siltosa, média a rija, variegada (amarela, roxa e vermelha)",Argila,Aquitarde,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,15.0,21.0,"Argila siltosa, rija, variegada (vermelha, amarela e cinza)",Argila,Aquitarde,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,21.0,26.0,"Areia fina argilosa, medianamente compacta, variegada (cinza, amarela e roxa)",Areia Fina,Livre,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,26.0,27.0,"Areia fina argilosa, medianamente compacta, variegada (cinza, vermelha e amarela)",Areia Fina,Livre,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,27.0,28.0,"Areia fina argilosa, medianamente compacta, cinza",Areia Fina,Livre,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,28.0,29.0,"Areia média argilosa, medianamente compacta, variegada (cinza, vermelha e amarela)",Areia Grossa,Livre,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,29.0,31.0,"Areia média argilosa, medianamente compacta, variegada (vermelha, cinza e roxa)",Areia Grossa,Livre,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,31.0,33.0,"Areia média a grossa argilosa, medianamente compacta, variegada (cinza, vermelha e roxa)",Areia Grossa,Livre,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,33.0,34.0,"Areia fina argilosa, medianamente compacta, cinza",Areia Fina,Livre,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,34.0,37.0,"Areia fina argilosa, medianamente compacta a compacta, cinza e vermelha variegada",Areia Fina,Livre,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,37.0,39.0,"Argila siltosa pouco arenosa, dura, variegada (amarela, vermelha e roxa)",Argila,Aquitarde,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-01,31983,330717.31,7385947.28,792.85,18.53,39.0,42.45,"Argila siltosa pouco arenosa, dura, variegada (marrom, roxa e amarela)",Argila,Aquitarde,2025-04-22
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,0.0,1.2,"Piso de asfalto e brita sobre Argila arenosa, com entulho, marrom variegada",Argila,Aquitarde,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,1.2,9.0,"Argila siltosa, mole a média, vermelha",Argila,Aquitarde,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,9.0,12.0,"Argila siltosa pouco arenosa, média, variegada (roxa, cinza e amarela)",Argila,Aquitarde,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,12.0,16.0,"Areia fina siltosa pouco argilosa, medianamente compacta, variegada (cinza, roxa e rosa)",Areia Fina,Livre,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,16.0,29.0,"Argila siltosa, média a rija, variegada (amarela escura, vermelha e cinza)",Argila,Aquitarde,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,29.0,30.6,"Areia fina siltosa pouco argilosa, medianamente compacta, variegada (amarela escura, vermelha e cinza)",Areia Fina,Livre,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,30.6,31.8,"Argila siltosa, rija, variegada (amarela escura, vermelha e cinza)",Argila,Aquitarde,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,31.8,33.0,"Areia média siltosa pouco argilosa, medianamente compacta, vermelha",Areia Grossa,Livre,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,33.0,34.0,"Areia fina siltosa pouco argilosa, medianamente compacta, variegada (roxa, vermelha e cinza)",Areia Fina,Livre,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,34.0,35.0,"Areia média siltosa pouco argilosa, medianamente compacta, vermelha",Areia Grossa,Livre,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,35.0,36.0,"Areia fina siltosa pouco argilosa, medianamente compacta, variegada (roxa, vermelha e cinza)",Areia Fina,Livre,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,36.0,37.0,"Argila siltosa, rija, variegada (amarela escura, cinza e vermelha)",Argila,Aquitarde,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,37.0,38.0,"Argila siltosa, rija, variegada (vermelha, amarela e cinza)",Argila,Aquitarde,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,38.0,40.0,"Argila siltosa, muito rija, variegada (amarela escura, cinza e vermelha)",Argila,Aquitarde,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-02,31983,330396.31,7385623.28,789.8,17.75,40.0,40.45,"Argila siltosa, muito rija, roxa clara e marrom variegada",Argila,Aquitarde,2025-06-04
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,0.0,2.0,"Piso de concreto sobre Argila siltosa pouco arenosa, mole, marrom",Argila,Aquitarde,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,2.0,11.0,"Argila siltosa pouco arenosa, mole a rija, vermelha",Argila,Aquitarde,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,11.0,12.0,"Argila siltosa, média, variegada (roxa, cinza e vermelha)",Argila,Aquitarde,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,12.0,15.0,"Argila siltosa, rija, variegada (amarela, cinza e vermelha)",Argila,Aquitarde,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,15.0,18.0,"Areia fina argilosa, medianamente compacta, variegada (cinza, vermelha e amarela)",Areia Fina,Livre,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,18.0,19.0,"Areia fina argilosa, medianamente compacta, cinza",Areia Fina,Livre,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,19.0,20.0,"Areia fina argilosa pouco siltosa, medianamente compacta, variegada (rosa, cinza e vermelha)",Areia Fina,Livre,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,20.0,21.0,"Areia fina argilosa, com mica, medianamente compacta, vermelha",Areia Fina,Livre,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,21.0,22.0,"Argila arenosa, com mica, rija, roxa e cinza variegada",Argila,Aquitarde,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,22.0,27.0,"Argila siltosa pouco arenosa, rija a muito rija, variegada (marrom, vermelha e cinza)",Argila,Aquitarde,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,27.0,30.0,"Argila siltosa pouco arenosa, muito rija a dura, marrom e cinza variegada",Argila,Aquitarde,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,30.0,31.0,"Areia fina argilosa, compacta, variegada (vermelha, marrom e branca)",Areia Fina,Livre,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,31.0,32.0,"Areia média a grossa argilosa, medianamente compacta, vermelha e roxa variegada",Areia Grossa,Livre,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,32.0,33.0,"Areia fina argilosa, com mica, compacta, variegada (amarela, vermelha e roxa)",Areia Fina,Livre,2025-04-03
Aeroporto de Congonhas - Sondagens SPT 2025,SP-03,31983,330520.31,7385792.28,790.46,18.95,33.0,39.45,"Argila siltosa, muito rija a dura, variegada (vermelha, amarela e cinza)",Argila,Aquitarde,2025-04-03
